SampleID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
aminoglycoside__aac2I	0	0	0	0	0.000164992	0	0	0.000307098	0	0	0	0	0	0	0	0.000500184	0	0	0.00014225	0.000136597
aminoglycoside__aac3I	0	0.000399815	0	0	0.000225824	0.000525463	0	0	0.000329025	0	0	0	0.00042122	0.000198869	0	0.000131368	0	0.00010955	0	0
aminoglycoside__aac3II	0.0000839	0.000194004	0	0.000427115	0	0	0	0	0	0	0.000475444	0.0000736	0	0	0	0	0	0	0	0
aminoglycoside__aac3IIIa	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0.00011272	0.000211763	0	0	0
aminoglycoside__aac3IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000751	0	0	0	0	0
aminoglycoside__aac630aac6Ib	0	0.0000794	0	0.0000734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac631	0	0	0	0	0.000342574	0	0	0	0	0	0.000113209	0	0	0	0	0	0	0	0	0
aminoglycoside__aac6I	0.000670269	0.004871035	0.00322487	0.003482873	0.000946006	0.003399508	0.001863463	0.001243619	0.001185041	0.001633372	0.001702355	0.00356148	0.001419101	0.000995918	0.001648848	0.001680702	0.002970343	0.003185878	0.000388447	0.002090824
aminoglycoside__aac6II	0.001331115	0.000830799	0.000571233	0.001414902	0.001591542	0.001347371	0.000576485	0	0.000279246	0.000355982	0.000556791	0.001970751	0.001499858	0.000728423	0.000348041	0.002047902	0.000312371	0.001176788	0.000139931	0.001015462
aminoglycoside__aad6	0	0	0	0.000111765	0	0	0	0	0.000094	0	0	0.000100954	0.000104075	0	0	0	0	0	0	0
aminoglycoside__aadA	0.017803963	0.02752052	0.015899793	0.011674545	0.013971154	0.009892928	0.008755081	0.008791202	0.008391159	0.007772668	0.017852715	0.020678032	0.020857711	0.015156824	0.017567268	0.0108378	0.01763369	0.006743256	0.011461365	0.01002719
aminoglycoside__aadB	0	0	0	0	0.000912563	0.000162867	0	0	0	0	0	0.000237735	0.0000844	0	0	0	0	0.000159724	0.000189995	0
aminoglycoside__aadD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadE	0.000420546	0.000196671	0	0.000777217	0	0.000200191	0.000622171	0.000664357	0.002074859	0.000374221	0	0.001119698	0.000200171	0.000465381	0	0	0.000205145	0.000100167	0	0.000172293
aminoglycoside__aadK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant2I	0.000774782	0.001191094	0.000290296	0.00076345	0.000528605	0.000287489	0.000310303	0.0000939	0	0.000105401	0.00024928	0.001541013	0.00069939	0	0	0	0.000242119	0.000142783	0.000265381	0.000202393
aminoglycoside__ant3Ihaac6IId	0.000237385	0.000293481	0.0000846	0.000129252	0.00028221	0.0000996	0	0	0.00011201	0.0000646	0.00018371	0.000329146	0.000111672	0.000217842	0.0000685	0	0.000321621	0	0	0.0000278
aminoglycoside__ant9I	0	0.000460894	0	0.000499674	0	0	0	0	0.0002143	0	0.000119551	0	0.000118697	0	0	0.000132695	0.000159438	0.000467291	0.000429917	0.000100122
aminoglycoside__aph2IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph2Ie	0	0.000432625	0	0	0	0	0	0	0	0	0.000380624	0	0	0	0	0.0000917	0	0	0	0.0000805
aminoglycoside__aph3III	0	0.000208026	0	0.000123856	0	0.000185631	0	0	0.000485463	0	0.000280545	0.000163699	0.0000544	0	0.000112711	0.000233543	0.0000571	0	0.000198189	0
aminoglycoside__aph3I	0.001215696	0.002184209	0.001451022	0.001460034	0.003534758	0.001652627	0.000634127	0.003288719	0.000512397	0.00178402	0.003498008	0.002951751	0.001568346	0.004142094	0.000490666	0.001874344	0.00011064	0.000560814	0.001493428	0.000759214
aminoglycoside__aph3_I	0	0	0.0010961	0	0	0	0	0	0	0	0.000446171	0	0.000122954	0	0	0	0	0	0	0.000160372
aminoglycoside__aph3IIb	0	0	0	0	0	0	0	0.000114153	0.0000889	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph4I	0	0	0	0	0	0	0	0	0	0	0.003434419	0	0	0	0	0	0	0	0	0
aminoglycoside__aph6I	0.000429174	0.001774417	0.001426948	0.000897539	0.003106803	0.001885994	0.000524643	0.000717699	0.0000933	0.000216206	0.000941366	0.003673338	0.000968687	0.002448719	0.000652129	0.000786917	0.000728169	0.000212615	0.001182045	0.000448824
aminoglycoside__bifunctionalaminoglycosideNacetyltransferaseandaminoglycosidephosphotransferase	0.000230621	0.000118199	0	0.000315556	0.000271413	0.000175495	0.00010147	0.0000663	0.000812898	0.000252294	0.00100142	0.00056745	0.000473746	0.000912607	0.000276842	0.000526935	0	0	0.000155771	0.000241359
aminoglycoside__rmtB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231943	0	0	0	0	0
aminoglycoside__streptomycinresistanceprotein	0	0	0	0	0	0	0	0	0.000185779	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptothricinacetyltransferase	0	0	0	0	0	0.000195234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bacA	0.042068949	0.048459253	0.049974205	0.032854333	0.031818993	0.042117109	0.036146634	0.033718789	0.022195839	0.029240615	0.034893343	0.044202958	0.041025539	0.040566039	0.033934244	0.034098059	0.038057705	0.029953542	0.028647047	0.027148655
