SampleID	Methanomicrobia	Blastocatellia	Actinobacteria	Coriobacteriia	Bacteroidetes_unclassified	Bacteroidia	Flavobacteriia	Sphingobacteriia	Chlorobi_unclassified	Chloroflexia	Bacilli	Clostridia	Negativicutes	Nitrospira	Planctomycetia	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Hydrogenophilalia	Proteobacteria_unclassified
1	0	0.78674	0.24641	0.19472	28.11784	2.89265	2.78666	27.72683	6.57553	0	6.46753	0.4337	0.16416	0.45375	0	0.46383	17.92311	1.82089	2.78084	0	0	0.16482
2	0	0.37389	0.34283	0.08535	22.40344	7.28687	5.47097	3.55629	9.85606	0	5.20773	1.26763	0.16556	0.2604	0	0.45965	25.90815	1.14973	13.53274	2.29389	0	0.37882
3	0	0.51093	0	0.38612	61.07442	0.64255	1.52598	0.84435	3.33669	0	5.30815	0	0	0.07755	0	0.08739	21.71227	0.32421	3.79486	0.37454	0	0
4	0	0.08235	0.52213	0.55668	64.38736	3.10003	2.60745	2.15045	2.95814	0	2.63274	0.26876	0	0.56158	0	0.34731	12.69357	0.32231	4.96864	1.8405	0	0
5	0	0	0	0.33709	47.54208	1.06493	3.04867	5.64403	4.61226	0	6.81677	0	0	0.28887	0	0	24.5373	0.55794	5.55007	0	0	0
6	0	0.09771	0	0	54.65652	1.40469	1.76888	3.62931	7.21522	0	1.50129	0	0	0.36382	0	0	25.62759	2.30043	1.41121	0	0	0.02334
7	0	0.40302	0.68401	0.27937	0	0	8.05544	0	0	3.07624	1.65685	0	0	1.5488	0.36055	0	80.532	2.59088	0.81286	0	0	0
8	0	1.45098	0	0.06252	53.25178	0.49594	2.84625	1.59269	19.47729	0	3.43753	0	0	0	0.14178	0	14.802	1.39814	1.0431	0	0	0
9	0	1.11705	0	0.19614	48.08934	0	0.73486	5.97581	25.50528	0	8.17426	0	0	0.31046	0.11157	0	8.19561	1.58962	0	0	0	0
10	0	1.61244	0	0.4665	35.73988	0.21721	2.91443	1.39524	36.16593	0	0.50222	0	0	0.37058	0	0	18.26013	1.80601	0.54943	0	0	0
11	0	0.6824	0.2944	0.89909	0	3.80121	6.18286	0	0	9.50329	3.12729	1.65488	0.83779	0.21721	0	0	64.79628	0.98517	4.08258	2.93555	0	0
12	0	0.20692	2.23616	0	0	4.90354	8.06648	0	0	4.2856	0.81079	2.62049	1.10855	0.30526	0	0.91602	53.57289	2.38408	14.11926	4.46397	0	0
13	0	0.43797	3.38572	0.52166	0	2.178	7.14854	0	0	4.77249	3.92674	0.17364	0.24224	0.03652	0	0.33944	61.23825	3.39176	9.37915	2.82789	0	0
14	0	0	9.04622	2.04874	0	1.22914	6.65229	0	0	2.94967	1.74509	0.40848	0	0.65662	0	2.7116	56.48387	4.11145	8.07088	3.88595	0	0
15	0	0.72603	1.69746	0.45469	0	1.0579	4.24349	0	0	4.38151	4.78426	0.22938	0	0	0	0	72.24336	5.1055	4.43815	0.63825	0	0
16	0	0.36098	2.2952	1.57037	0	0.52681	6.36288	0	0	1.3341	0	0	0	0.66723	0.28831	0	80.37254	0.86021	4.01542	1.34595	0	0
17	0	0.93674	0	0	55.77219	0.66912	2.92086	1.80269	14.2173	0	1.1367	0	0	0.2035	0.21323	0	18.94952	2.58341	0.42652	0	0	0.16824
18	0	2.48492	0	0.98342	0	2.82383	11.51	0	0	5.98124	0	0	0	0.78594	0.17288	0	72.38411	1.24882	1.62484	0	0	0
19	0	9.60493	0	2.43143	0	0	3.3701	0	0	1.34349	0	1.39121	0	0.39742	0.09471	0	80.62623	0.57657	0.16391	0	0	0
20	0	6.68675	0	2.93955	0	0.37747	4.06728	0	0	2.17945	1.3226	0.63403	0	0.35752	0.14586	0	79.71082	0.90496	0.67371	0	0	0
